division,crime_type,year,cases
clementi police division - jurong east npc,outrage of modesty,2011,44
clementi police division - queenstown npc,robbery,2024,1
clementi police division - queenstown npc,robbery,2023,0
clementi police division - queenstown npc,robbery,2022,0
clementi police division - queenstown npc,robbery,2021,0
clementi police division - queenstown npc,robbery,2020,1
clementi police division - queenstown npc,robbery,2019,1
clementi police division - queenstown npc,robbery,2018,0
clementi police division - queenstown npc,robbery,2017,1
clementi police division - queenstown npc,robbery,2016,1
clementi police division - queenstown npc,robbery,2015,2
clementi police division - queenstown npc,robbery,2014,1
clementi police division - queenstown npc,robbery,2013,4
clementi police division - queenstown npc,robbery,2012,4
clementi police division - queenstown npc,robbery,2011,8
clementi police division - queenstown npc,housebreaking,2024,8
clementi police division - queenstown npc,housebreaking,2023,2
clementi police division - queenstown npc,housebreaking,2022,3
clementi police division - queenstown npc,housebreaking,2021,4
clementi police division - queenstown npc,housebreaking,2020,2
clementi police division - queenstown npc,housebreaking,2019,10
clementi police division - queenstown npc,housebreaking,2018,11
clementi police division - queenstown npc,housebreaking,2017,7
clementi police division - queenstown npc,housebreaking,2016,10
clementi police division - queenstown npc,housebreaking,2015,5
clementi police division - queenstown npc,housebreaking,2014,14
clementi police division - queenstown npc,housebreaking,2013,33
clementi police division - queenstown npc,housebreaking,2012,36
clementi police division - queenstown npc,housebreaking,2011,25
clementi police division - queenstown npc,snatch theft,2024,0
clementi police division - queenstown npc,snatch theft,2023,0
clementi police division - queenstown npc,snatch theft,2022,0
clementi police division - queenstown npc,snatch theft,2021,0
clementi police division - queenstown npc,snatch theft,2020,0
clementi police division - queenstown npc,snatch theft,2019,2
clementi police division - queenstown npc,snatch theft,2018,2
clementi police division - queenstown npc,snatch theft,2017,1
clementi police division - queenstown npc,snatch theft,2016,0
clementi police division - queenstown npc,snatch theft,2015,3
clementi police division - queenstown npc,snatch theft,2014,2
clementi police division - queenstown npc,snatch theft,2013,7
clementi police division - queenstown npc,snatch theft,2012,10
clementi police division - queenstown npc,snatch theft,2011,7
clementi police division - queenstown npc,theft of motor vehicle,2024,3
clementi police division - queenstown npc,theft of motor vehicle,2023,2
clementi police division - queenstown npc,theft of motor vehicle,2022,1
clementi police division - queenstown npc,theft of motor vehicle,2021,0
clementi police division - queenstown npc,theft of motor vehicle,2020,2
clementi police division - queenstown npc,theft of motor vehicle,2019,0
clementi police division - queenstown npc,theft of motor vehicle,2018,3
clementi police division - queenstown npc,theft of motor vehicle,2017,5
clementi police division - queenstown npc,theft of motor vehicle,2016,4
clementi police division - queenstown npc,theft of motor vehicle,2015,3
clementi police division - queenstown npc,theft of motor vehicle,2014,4
clementi police division - queenstown npc,theft of motor vehicle,2013,11
clementi police division - queenstown npc,theft of motor vehicle,2012,11
clementi police division - queenstown npc,theft of motor vehicle,2011,11
clementi police division - queenstown npc,outrage of modesty,2024,58
clementi police division - queenstown npc,outrage of modesty,2023,39
clementi police division - queenstown npc,outrage of modesty,2022,39
clementi police division - queenstown npc,outrage of modesty,2021,67
clementi police division - queenstown npc,outrage of modesty,2020,55
clementi police division - queenstown npc,outrage of modesty,2019,56
clementi police division - queenstown npc,outrage of modesty,2018,49
clementi police division - queenstown npc,outrage of modesty,2017,52
clementi police division - queenstown npc,outrage of modesty,2016,47
clementi police division - queenstown npc,outrage of modesty,2015,39
clementi police division - queenstown npc,outrage of modesty,2014,36
clementi police division - queenstown npc,outrage of modesty,2013,29
clementi police division - queenstown npc,outrage of modesty,2012,32
clementi police division - queenstown npc,outrage of modesty,2011,38
clementi police division - unknown npc,robbery,2024,0
clementi police division - unknown npc,robbery,2023,0
clementi police division - unknown npc,robbery,2022,0
clementi police division - unknown npc,robbery,2021,0
clementi police division - unknown npc,robbery,2020,0
clementi police division - unknown npc,robbery,2019,0
clementi police division - unknown npc,robbery,2018,0
clementi police division - unknown npc,robbery,2017,0
clementi police division - unknown npc,robbery,2016,0
clementi police division - unknown npc,robbery,2015,0
clementi police division - unknown npc,robbery,2014,0
clementi police division - unknown npc,robbery,2013,0
clementi police division - unknown npc,robbery,2012,0
clementi police division - unknown npc,robbery,2011,0
clementi police division - unknown npc,housebreaking,2024,0
clementi police division - unknown npc,housebreaking,2023,0
clementi police division - unknown npc,housebreaking,2022,0
clementi police division - unknown npc,housebreaking,2021,0
clementi police division - unknown npc,housebreaking,2020,0
clementi police division - unknown npc,housebreaking,2019,0
clementi police division - unknown npc,housebreaking,2018,0
clementi police division - unknown npc,housebreaking,2017,0
clementi police division - unknown npc,housebreaking,2016,0
clementi police division - unknown npc,housebreaking,2015,0
